Movie_Title,MPAA,Distributor,Genre,Rotten_Tomatoes_Rating
Keeping it Real: The Adventures of Greg Walloch,Not Rated,Avatar,0,0.0
Akira,R,0,Action,0.0
Krush Groove,0,Warner Bros.,Drama,0.0
Krrish,Not Rated,AdLab Films,Action,100.0
Kansas City,R,New Line,Drama,58.0
The Last Emperor,0,Sony/Columbia,Drama,91.0
Last Action Hero,0,Sony Pictures,Action,38.0
Live and Let Die,0,MGM,Action,64.0
Lage Raho Munnabhai,Not Rated,Eros Entertainment,Comedy,0.0
The Last Waltz,Not Rated,MGM,0,0.0
The Last Big Thing,R,Stratosphere Entertainment,0,0.0
The Land Before Time,0,Universal,Adventure,71.0
The Longest Day,0,20th Century Fox,Action,92.0
The Living Daylights,0,MGM,Action,73.0
Aladdin,G,Walt Disney Pictures,Comedy,0.0
A Low Down Dirty Shame,R,Walt Disney Pictures,Action,0.0
Love and Death on Long Island,PG-13,Lionsgate,Drama,0.0
Ladyhawke,0,Warner Bros.,Action,63.0
Nikita,0,Goldwyn Entertainment,Thriller/Suspense,0.0
Lion of the Desert,0,United Film Distribution Co.,0,0.0
Legal Eagles,0,Universal,Comedy,50.0
Legend,0,Universal,Adventure,0.0
The Last House on the Left,R,0,0,63.0
Lifeforce,0,Sony/TriStar,Horror,57.0
Lady in White,0,New Century Vista Film Company,Horror,73.0
The Long Kiss Goodnight,R,New Line,Action,69.0
Lake of Fire,Not Rated,ThinkFilm,Documentary,0.0
Elling,R,0,0,0.0
Lolita (1962),0,0,Drama,0.0
Elmer Gantry,0,0,0,96.0
El Mariachi,0,Sony/Columbia,Action,0.0
Last Man Standing,R,New Line,Action,0.0
Aliens,R,20th Century Fox,Action,100.0
Alien³,R,20th Century Fox,Action,37.0
The Lion King,G,Walt Disney Pictures,Adventure,92.0
Love and Death,0,MGM,Comedy,100.0
Love and Other Catastrophes,R,Fox Searchlight,Comedy,0.0
Love Letters,PG-13,New World,Thriller/Suspense,0.0
